Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19740403.21.10,Summary,4/3/74,15:45:00,CST,Kentucky,-,-,4,3,81,10,37,Hardin,Nelson,Spencer,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.72,-85.9,38,-85.3,1,10,147,Unmodified
19740403.21.11,Summary,4/3/74,15:45:00,CST,Kentucky,-,-,3,3,57,10,31,Simpson,Warren,Barren,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.72,-86.53,37,-86.1,1,11,148,Unmodified
19740403.37.4,Summary,4/3/74,16:00:00,CST,North Carolina,-,-,1,0,0,10,0,Cherokee,-,-,-,-,-,-,-,-,-,-,-,-,,35.05,-83.95,-,-,1,4,149,Unmodified
19740403.39.7,Summary,4/3/74,16:00:00,CST,Ohio,-,-,2,0,9,177,9,Warren,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,39.38,-84.23,39.52,-84.17,1,7,150,Unmodified
19740403.47.10,Summary,4/3/74,16:00:00,CST,Tennessee,-,-,2,0,2,100,0,Loudon,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.67,-84.17,35.67,-84.15,1,10,151,Unmodified
19740403.47.11,Summary,4/3/74,16:00:00,CST,Tennessee,-,-,2,0,0,200,1,Monroe,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.52,-84.35,-,-,1,11,152,Unmodified
19740403.28.15,Summary,4/3/74,16:00:00,CST,Mississippi,-,-,3,0,1,100,12,Jones,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.55,-89.18,31.67,-89.03,1,15,153,Unmodified
19740403.39.8,Summary,4/3/74,16:05:00,CST,Ohio,-,-,2,0,0,90,5,Franklin,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.08,-82.85,40.13,-82.77,1,8,154,Unmodified
19740403.21.12,Summary,4/3/74,16:15:00,CST,Kentucky,-,-,1,0,18,10,31,Henry,Owen,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.38,-85.33,38.63,-84.83,1,12,155,Unmodified
19740403.47.12,Summary,4/3/74,16:15:00,CST,Tennessee,-,-,3,3,50,500,21,Bradley,Bradley,Polk,McMinn,-,-,-,-,-,-,-,-,$50K-$500K,,35.18,-84.87,35.32,-84.55,1,12,156,Unmodified
