Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19990503.40.61,Summary,1999-05-03,19:48:00,CST,Oklahoma,-,-,2,0,0,200,8,Canadian,Kingfisher,-,-,-,-,-,-,-,-,-,-,$50000,,35.65,-97.78,35.73,-97.78,1,61,1169,Unmodified
19990503.31.22,Summary,1999-05-03,19:51:00,CST,Nebraska,-,-,0,0,0,70,6,Knox,-,-,-,-,-,-,-,-,-,-,-,$10000,,42.47,-98.18,42.48,-98.18,1,22,387,Unmodified
19990503.40.62,Summary,1999-05-03,19:55:00,CST,Oklahoma,-,-,0,0,0,50,0,Kingfisher,-,-,-,-,-,-,-,-,-,-,-,-,,35.85,-98.03,35.85,-98.03,1,62,1189,Unmodified
19990503.40.63,Summary,1999-05-03,19:58:00,CST,Oklahoma,-,-,1,0,0,150,10,Canadian,Kingfisher,-,-,-,-,-,-,-,-,-,-,$10000,,35.7,-97.72,35.83,-97.73,1,63,1170,Unmodified
19990503.40.64,Summary,1999-05-03,20:03:00,CST,Oklahoma,-,-,0,0,0,0,0,Kingfisher,-,-,-,-,-,-,-,-,-,-,-,-,,35.88,-98.03,35.88,-98.03,1,64,1199,Unmodified
19990503.40.65,Summary,1999-05-03,20:05:00,CST,Oklahoma,-,-,2,1,10,150,18,Pottawatomie,Pottawatomie,Lincoln,-,-,-,-,-,-,-,-,-,$750000,,35.37,-97,35.53,-96.85,1,65,1185,Unmodified
19990503.40.66,Summary,1999-05-03,20:10:00,CST,Oklahoma,-,-,1,0,0,100,1,Logan,-,-,-,-,-,-,-,-,-,-,-,$2000,,35.78,-97.68,35.8,-97.68,1,66,1171,Unmodified
19990503.40.67,Summary,1999-05-03,20:10:00,CST,Oklahoma,-,-,4,1,11,880,15,Kingfisher,-,-,-,-,-,-,-,-,-,-,-,$2500000,,35.93,-97.95,36.07,-97.78,1,67,1190,Unmodified
19990503.20.14,Summary,1999-05-03,20:15:00,CST,Kansas,-,-,0,0,0,0,0,Butler,-,-,-,-,-,-,-,-,-,-,-,-,,37.65,-97.02,37.65,-97.02,1,14,885,Unmodified
19990503.40.68,Summary,1999-05-03,20:22:00,CST,Oklahoma,-,-,0,0,0,50,0,Kingfisher,-,-,-,-,-,-,-,-,-,-,-,-,,35.85,-98.17,35.87,-98.17,1,68,1193,Unmodified
